ID,note,heures_etudes,orientation
E1,7.14,12,Littéraire
E2,8.88,16,Littéraire
E3,18.63,26,Scientifique
E4,13.36,16,Scientifique
E5,14.01,21,Scientifique
E6,11.44,18,Littéraire
E7,18.1,25,Scientifique
E8,9.34,15,Littéraire
E9,2.18,0,Littéraire
E10,4.67,2,Littéraire
E11,10.84,10,Littéraire
E12,3.91,7,Littéraire
E13,8.4,8,Littéraire
E14,19.99,27,Scientifique
E15,5.18,3,Littéraire
E16,10.04,11,Littéraire
E17,4.81,5,Littéraire
E18,11.29,17,Littéraire
E19,13.98,19,Scientifique
E20,3.96,3,Littéraire
E21,9.64,9,Littéraire
E22,10.32,15,Littéraire
E23,7.04,10,Littéraire
E24,15.03,20,Scientifique
E25,5.42,3,Littéraire
E26,13.88,17,Scientifique
E27,2.21,1,Littéraire
E28,3.9,10,Littéraire
E29,9.97,16,Littéraire
E30,14.97,25,Scientifique
E31,3.21,4,Littéraire
E32,13.06,13,Scientifique
E33,13.86,16,Scientifique
E34,4.22,6,Littéraire
E35,4.63,10,Littéraire
E36,20.0,28,Scientifique
E37,18.07,23,Scientifique
E38,9.19,11,Littéraire
E39,13.52,18,Scientifique
E40,1.09,0,Littéraire
E41,13.2,20,Scientifique
E42,11.03,14,Littéraire
E43,0.91,2,Littéraire
E44,7.41,8,Littéraire
E45,11.18,15,Littéraire
E46,11.6,14,Littéraire
E47,2.1,4,Littéraire
E48,7.58,1,Littéraire
E49,13.06,14,Scientifique
E50,13.38,16,Scientifique
E51,10.56,12,Littéraire
E52,9.64,15,Littéraire
E53,4.62,9,Littéraire
E54,13.38,22,Scientifique
E55,16.66,24,Scientifique
E56,12.3,14,Scientifique
E57,16.51,26,Scientifique
E58,17.72,24,Scientifique
E59,13.44,20,Scientifique
E60,3.51,3,Littéraire
E61,4.3,4,Littéraire
E62,9.05,13,Littéraire
E63,0.37,0,Littéraire
E64,9.85,19,Littéraire
E65,8.06,9,Littéraire
E66,4.25,3,Littéraire
E67,17.19,25,Scientifique
E68,8.63,12,Littéraire
E69,12.12,16,Scientifique
E70,11.53,14,Littéraire
E71,6.46,11,Littéraire
E72,18.43,28,Scientifique
E73,1.94,2,Littéraire
E74,8.44,8,Littéraire
E75,11.28,15,Littéraire
E76,13.39,18,Scientifique
E77,20.0,26,Scientifique
E78,9.64,16,Littéraire
E79,19.95,28,Scientifique
E80,3.35,4,Littéraire
